id,net,batch,partition,opt,dropout,format,train_start,train_end,train_time,train_state,eval_state,test_start,test_end,test_state,loss,best_loss,accuracy,best_accuracy,f1_score,best_f1_score,miou,best_miou,precision,best_precision,recall,best_recall,eval_loss,best_eval_loss,eval_accuracy,best_eval_accuracy,eval_f1_score,best_eval_f1_score,eval_miou,best_eval_miou,eval_precision,best_eval_precision,eval_recall,best_eval_recall,test_loss,test_accuracy,test_f1_score,test_miou,test_precision,test_recall,machine
132,unet,4,801010,adam,0.2,hist,08/03/2021 18:23:39,08/03/2021 22:51:39,4:28:00,done,done,08/03/2021 22:51:48,08/03/2021 22:52:16,done,"0,103552","0,103472","0,966660","0,966660","0,909645","0,966796","0,568839","0,568839","0,922418","0,922418","0,897220","0,897220","0,069240","0,048598","0,906382","0,913205","0,910366","0,913143","0,570364","0,570364","0,923002","0,923002","0,898071","0,898071","0,082247","0,901099","0,910338","0,570288","0,922945","0,898071",fbro-005
133,unet,4,801010,adam,0.2,hist,02/03/2021 07:16:59,02/03/2021 10:01:20,2:44:21,done,done,02/03/2021 10:01:28,02/03/2021 10:01:47,done,"0,098349","0,098349","0,966814","0,966814","0,910068","0,966958","0,573969","0,573969","0,922824","0,922824","0,897660","0,897660","0,059406","0,049366","0,906189","0,912960","0,910784","0,913167","0,575540","0,575540","0,923403","0,923403","0,898505","0,898505","0,258402","0,925759","0,910805","0,575586","0,923397","0,898552",FINOS-00
134,unet,4,801010,adam,0.2,hist,08/03/2021 22:34:33,09/03/2021 01:19:17,2:44:44,done,done,09/03/2021 01:19:29,09/03/2021 01:19:48,done,"0,104627","0,104627","0,966178","0,966178","0,908868","0,966306","0,571241","0,571241","0,922000","0,922000","0,896104","0,896104","0,053065","0,052499","0,904642","0,907936","0,909597","0,907881","0,572841","0,572841","0,922586","0,922586","0,896969","0,896969","0,074876","0,928076","0,909624","0,572919","0,922579","0,897027",FINOS-00
135,unet,4,801010,adam,0.2,hist,02/03/2021 10:01:51,02/03/2021 12:47:46,2:45:55,done,done,02/03/2021 12:47:56,02/03/2021 12:48:15,done,"0,082445","0,082445","0,972625","0,972625","0,911155","0,972739","0,572357","0,572357","0,924766","0,924766","0,897938","0,897938","0,065762","0,056943","0,911899","0,913311","0,911956","0,913485","0,574148","0,574148","0,925414","0,925414","0,898883","0,898883","0,086065","0,930725","0,911987","0,574231","0,925415","0,898944",FINOS-00
136,unet,4,801010,adam,0.2,morf,09/03/2021 10:11:54,09/03/2021 14:42:17,4:30:23,done,done,09/03/2021 14:42:27,09/03/2021 14:42:55,done,"0,090146","0,090146","0,969838","0,969838","0,908458","0,969954","0,568346","0,568346","0,921709","0,921709","0,895582","0,895582","0,063922","0,055378","0,907163","0,911754","0,909249","0,911807","0,570073","0,570073","0,922356","0,922356","0,896510","0,896510","0,187003","0,917428","0,909255","0,570119","0,922333","0,896543",fbro-005
137,unet,4,801010,adam,0.2,morf,02/03/2021 11:29:45,02/03/2021 14:29:27,2:59:42,done,done,02/03/2021 14:29:35,02/03/2021 14:29:55,done,"0,108017","0,108017","0,966863","0,966863","0,909410","0,967000","0,571400","0,571400","0,923066","0,923066","0,896152","0,896152","0,180309","0,098981","0,909329","0,914185","0,910149","0,914270","0,572994","0,572994","0,923656","0,923656","0,897031","0,897031","0,145324","0,930662","0,910190","0,573106","0,923664","0,897104",769c3b6d89b8
138,unet,4,801010,adam,0.2,morf,02/03/2021 21:27:08,03/03/2021 01:55:44,4:28:36,done,done,03/03/2021 01:55:55,03/03/2021 01:56:23,done,"0,096476","0,096476","0,968214","0,968214","0,909041","0,968337","0,569679","0,569679","0,922497","0,922497","0,895972","0,895972","0,050137","0,049621","0,906350","0,913472","0,909806","0,913643","0,571318","0,571318","0,923114","0,923114","0,896876","0,896876","0,118739","0,923999","0,909815","0,571386","0,923091","0,896916",fbro-005
139,unet,4,801010,adam,0.2,morf,02/03/2021 15:09:21,02/03/2021 17:54:43,2:45:22,done,done,02/03/2021 17:54:53,02/03/2021 17:55:13,done,"0,097430","0,097430","0,967502","0,967502","0,907312","0,967631","0,565514","0,565514","0,921410","0,921410","0,893639","0,893639","0,057224","0,052000","0,898532","0,910640","0,908076","0,910700","0,567213","0,567213","0,922016","0,922016","0,894552","0,894552","0,092128","0,913699","0,908072","0,567233","0,921978","0,894580",FINOS-00
140,unet,4,801010,adam,0.2,morf,02/03/2021 12:27:48,02/03/2021 16:58:21,4:30:33,done,done,02/03/2021 16:58:31,02/03/2021 16:58:59,done,"0,089684","0,089684","0,970779","0,970779","0,908925","0,970999","0,569772","0,569772","0,921781","0,921781","0,896422","0,896422","0,055289","0,051581","0,906247","0,908638","0,909713","0,908776","0,571488","0,571488","0,922435","0,922435","0,897337","0,897337","0,145389","0,918441","0,909717","0,571484","0,922413","0,897365",fbro-005
141,unet,4,801010,rmsprop,0,hist,02/03/2021 17:55:17,02/03/2021 20:37:54,2:42:37,done,done,02/03/2021 20:38:03,02/03/2021 20:38:23,done,"0,049189","0,049189","0,982722","0,982722","0,924380","0,983000","0,603804","0,603804","0,934708","0,934708","0,914278","0,914278","0,068388","0,046272","0,908704","0,911319","0,925109","0,911365","0,605418","0,605418","0,935329","0,935329","0,915110","0,915110","0,108464","0,936228","0,925107","0,605451","0,935300","0,915133",FINOS-00
